iter	Logloss
0	0.5612611782
5	0.3470068292
10	0.3040525249
15	0.2874369368
20	0.279343536
25	0.2748161693
30	0.2720453059
35	0.2700844452
40	0.2689977655
45	0.2683370359
50	0.2676639861
55	0.267203435
60	0.2668687289
65	0.2665817235
70	0.266381112
75	0.2661403133
80	0.2660310109
85	0.2657717641
90	0.2656082436
95	0.2654219661
100	0.2652757677
105	0.2650867404
110	0.264922895
115	0.2647574907
120	0.2645185758
125	0.2642904438
130	0.2642019713
135	0.2641020011
140	0.2639863762
145	0.2638010298
150	0.2636925502
155	0.2635294411
160	0.2634270458
165	0.2633573677
170	0.2632467445
175	0.2631413829
180	0.2630568511
185	0.2629820846
190	0.2629330415
195	0.2628667845
200	0.2627885969
205	0.2626870678
210	0.2626347983
215	0.2625843261
220	0.2625363872
225	0.2624973259
230	0.2624542589
235	0.2623992829
240	0.262352903
245	0.2622788077
250	0.262232103
255	0.2621796171
260	0.2621441934
265	0.2620886545
270	0.2620172441
275	0.2619633724
280	0.2619228171
285	0.2618830412
290	0.2618453224
295	0.2618061961
300	0.2617526925
305	0.2617100802
310	0.2616760422
315	0.2616285581
320	0.2615904062
325	0.2615561517
330	0.2615104431
335	0.2614733738
340	0.2614399638
345	0.2614021367
350	0.2613718663
355	0.2613404267
360	0.2612898679
365	0.2612589912
370	0.2612290024
375	0.2612004642
380	0.2611638064
385	0.2611281012
390	0.2610969431
395	0.2610666727
400	0.2610273299
405	0.2609875541
410	0.2609575219
415	0.2609241552
420	0.2608885367
425	0.2608521386
430	0.2608190967
435	0.2607882418
440	0.2607572136
445	0.2607271381
450	0.2606991846
455	0.2606500764
460	0.2606172511
465	0.2605798137
470	0.2605439353
475	0.260511608
480	0.2604712475
485	0.2604435971
490	0.2604129587
495	0.2603887294
500	0.2603603645
505	0.260335897
510	0.2603032232
515	0.2602743386
520	0.260248139
525	0.2602173489
530	0.2601898718
535	0.2601599912
540	0.2601348741
545	0.260109952
550	0.2600854845
