iter	Passed	Remaining
0	200	324513
1	211	171824
2	224	121011
3	236	95854
4	249	80661
5	260	70226
6	274	63263
7	285	57603
8	297	53336
9	311	50168
10	321	47170
11	333	44832
12	345	42731
13	357	41075
14	371	39771
15	383	38523
16	393	37220
17	404	36078
18	416	35157
19	428	34329
20	442	33720
21	453	32994
22	465	32403
23	477	31786
24	489	31291
25	502	30859
26	513	30352
27	525	29915
28	536	29467
29	548	29118
30	560	28759
31	574	28556
32	587	28296
33	599	28002
34	611	27753
35	625	27559
36	641	27482
37	654	27292
38	667	27092
39	679	26907
40	692	26737
41	708	26660
42	718	26404
43	728	26145
44	740	25982
45	752	25804
46	766	25695
47	776	25494
48	788	25334
49	800	25174
50	813	25089
51	827	24992
52	841	24915
53	853	24804
54	864	24646
55	876	24533
56	888	24407
57	902	24363
58	914	24239
59	925	24122
60	938	24040
61	950	23936
62	965	23908
63	977	23810
64	990	23749
65	1002	23641
66	1015	23591
67	1029	23535
68	1041	23463
69	1052	23349
70	1063	23244
71	1075	23174
72	1088	23104
73	1101	23053
74	1112	22956
75	1125	22912
76	1136	22821
77	1147	22730
78	1162	22712
79	1176	22689
80	1186	22590
81	1197	22513
82	1209	22436
83	1221	22379
84	1235	22362
85	1247	22300
86	1260	22251
87	1272	22192
88	1287	22194
89	1300	22156
90	1312	22103
91	1324	22048
92	1335	21966
93	1347	21911
94	1360	21876
95	1371	21820
96	1381	21739
97	1391	21660
98	1403	21602
99	1420	21638
100	1439	21688
101	1458	21746
102	1475	21768
103	1491	21782
104	1507	21799
105	1525	21824
106	1543	21870
107	1561	21910
108	1580	21953
109	1596	21958
110	1616	22012
111	1636	22075
112	1653	22091
113	1669	22100
114	1686	22110
115	1701	22099
116	1717	22104
117	1734	22116
118	1748	22104
119	1767	22143
120	1787	22188
121	1801	22167
122	1816	22154
123	1833	22161
124	1849	22162
125	1866	22176
126	1881	22161
127	1897	22164
128	1912	22154
129	1927	22131
130	1944	22149
131	1959	22134
132	1978	22160
133	1993	22155
134	2009	22152
135	2026	22155
136	2043	22162
137	2062	22191
138	2077	22177
139	2094	22191
140	2114	22225
141	2129	22213
142	2144	22192
143	2159	22179
144	2178	22210
145	2195	22213
146	2208	22179
147	2226	22189
148	2242	22182
149	2260	22197
150	2276	22190
151	2290	22165
152	2306	22157
153	2319	22127
154	2339	22160
155	2355	22154
156	2374	22167
157	2391	22171
158	2405	22151
159	2419	22123
160	2432	22087
161	2443	22038
162	2457	22008
163	2467	21953
164	2483	21946
165	2498	21929
166	2508	21871
167	2518	21814
168	2530	21768
169	2541	21725
170	2554	21687
171	2564	21634
172	2576	21591
173	2586	21538
174	2597	21493
175	2616	21515
176	2626	21459
177	2638	21418
178	2649	21371
179	2660	21331
180	2673	21301
181	2685	21259
182	2696	21220
183	2707	21176
184	2720	21149
185	2732	21107
186	2745	21085
187	2756	21038
188	2767	20999
189	2780	20972
190	2792	20933
191	2803	20894
192	2816	20868
193	2828	20834
194	2838	20787
195	2850	20750
196	2861	20713
197	2873	20680
198	2885	20645
199	2895	20602
200	2907	20569
201	2917	20524
202	2927	20481
203	2940	20455
204	2951	20412
205	2962	20377
206	2974	20347
207	2984	20305
208	2997	20279
209	3010	20254
210	3021	20221
211	3032	20183
212	3045	20160
213	3056	20122
214	3066	20085
215	3081	20070
216	3094	20052
217	3107	20030
218	3118	19994
219	3131	19967
220	3143	19944
221	3155	19913
222	3166	19877
223	3176	19838
224	3188	19808
225	3199	19779
226	3213	19762
227	3224	19728
228	3235	19696
229	3248	19675
230	3260	19648
231	3276	19642
232	3287	19610
233	3299	19587
234	3312	19562
235	3326	19549
236	3340	19534
237	3352	19508
238	3362	19474
239	3373	19440
240	3386	19417
241	3397	19386
242	3410	19366
243	3422	19345
244	3434	19320
245	3446	19289
246	3458	19268
247	3473	19255
248	3485	19235
249	3497	19210
250	3509	19181
251	3521	19157
252	3534	19141
253	3546	19117
254	3558	19090
255	3570	19065
256	3581	19038
257	3596	19028
258	3611	19017
259	3623	18996
260	3635	18969
261	3645	18934
262	3657	18910
263	3668	18885
264	3679	18858
265	3690	18825
266	3700	18791
267	3711	18767
268	3722	18734
269	3735	18718
270	3746	18689
271	3756	18656
272	3767	18630
273	3777	18596
274	3787	18567
275	3800	18550
276	3811	18519
277	3822	18495
278	3833	18464
279	3844	18438
280	3854	18409
281	3866	18386
282	3877	18360
283	3888	18333
284	3899	18308
285	3910	18280
286	3920	18249
287	3933	18231
288	3943	18202
289	3954	18176
290	3965	18152
291	3976	18123
292	3988	18105
293	4000	18085
294	4011	18059
295	4022	18032
296	4032	18001
297	4043	17978
298	4053	17948
299	4065	17930
300	4078	17911
301	4089	17889
302	4102	17874
303	4114	17851
304	4126	17831
305	4138	17812
306	4149	17787
307	4159	17760
308	4169	17731
309	4180	17707
310	4193	17689
311	4204	17667
312	4214	17639
313	4224	17610
314	4235	17586
315	4245	17559
316	4256	17534
317	4270	17526
318	4282	17504
319	4293	17483
320	4305	17463
321	4317	17444
322	4329	17427
323	4341	17406
324	4353	17385
325	4364	17363
326	4375	17341
327	4385	17316
328	4399	17303
329	4409	17277
330	4421	17259
331	4432	17235
332	4442	17209
333	4453	17189
334	4466	17172
335	4478	17152
336	4488	17126
337	4498	17102
338	4510	17082
339	4519	17055
340	4532	17040
341	4543	17016
342	4553	16991
343	4563	16968
344	4574	16943
345	4586	16926
346	4602	16922
347	4614	16906
348	4624	16881
349	4634	16856
350	4646	16837
351	4657	16818
352	4668	16794
353	4678	16772
354	4689	16748
355	4701	16732
356	4711	16707
357	4721	16683
358	4733	16667
359	4744	16646
360	4757	16632
361	4768	16609
362	4780	16594
363	4795	16584
364	4806	16565
365	4817	16545
366	4827	16522
367	4840	16505
368	4850	16483
369	4863	16469
370	4873	16447
371	4884	16425
372	4895	16405
373	4905	16381
374	4915	16358
375	4928	16343
376	4937	16320
377	4949	16301
378	4959	16278
379	4969	16255
380	4981	16239
381	4993	16222
382	5004	16204
383	5015	16181
384	5024	16157
385	5036	16139
386	5046	16116
387	5058	16101
388	5068	16079
389	5079	16058
390	5092	16044
391	5103	16027
392	5116	16012
393	5128	15995
394	5139	15977
395	5150	15957
396	5159	15933
397	5171	15917
398	5181	15895
399	5192	15877
400	5203	15856
401	5213	15834
402	5224	15815
403	5234	15793
404	5243	15770
405	5255	15754
406	5265	15732
407	5276	15714
408	5286	15692
409	5296	15669
410	5308	15655
411	5318	15633
412	5331	15619
413	5342	15601
414	5352	15578
415	5365	15567
416	5377	15551
417	5388	15534
418	5398	15513
419	5408	15492
420	5420	15475
421	5430	15455
422	5441	15437
423	5451	15416
424	5461	15394
425	5473	15378
426	5483	15358
427	5493	15336
428	5504	15320
429	5519	15314
430	5535	15309
431	5551	15306
432	5569	15307
433	5588	15309
434	5603	15302
435	5618	15296
436	5631	15283
437	5650	15286
438	5666	15283
439	5682	15278
440	5698	15274
441	5713	15265
442	5724	15249
443	5735	15229
444	5746	15212
445	5757	15193
446	5766	15172
447	5778	15155
448	5788	15134
449	5798	15115
450	5809	15097
451	5819	15077
452	5831	15061
453	5842	15043
454	5852	15024
455	5864	15007
456	5875	14990
457	5886	14974
458	5896	14953
459	5907	14934
460	5918	14918
461	5928	14897
462	5939	14879
463	5949	14861
464	5959	14840
465	5970	14824
466	5981	14805
467	5990	14785
468	6001	14767
469	6012	14748
470	6023	14731
471	6033	14712
472	6043	14693
473	6055	14678
474	6066	14661
475	6078	14647
476	6088	14628
477	6098	14608
478	6109	14591
479	6119	14572
480	6131	14556
481	6141	14537
482	6151	14518
483	6164	14505
484	6176	14493
485	6188	14477
486	6199	14462
487	6209	14443
488	6220	14425
489	6230	14406
490	6241	14390
491	6252	14372
492	6262	14355
493	6275	14342
494	6285	14322
495	6297	14308
496	6307	14291
497	6318	14273
498	6330	14259
499	6340	14241
500	6352	14227
501	6363	14210
502	6373	14191
503	6385	14177
504	6396	14161
505	6408	14145
506	6418	14127
507	6428	14109
508	6439	14094
509	6449	14075
510	6459	14057
511	6471	14041
512	6481	14024
513	6492	14008
514	6502	13989
515	6512	13972
516	6524	13956
517	6534	13938
518	6545	13923
519	6555	13905
520	6565	13887
521	6577	13873
522	6589	13858
523	6600	13843
524	6611	13827
525	6622	13811
526	6633	13796
527	6644	13778
528	6655	13763
529	6666	13748
530	6677	13732
531	6689	13717
532	6699	13701
533	6711	13686
534	6721	13669
535	6731	13651
536	6742	13636
537	6753	13619
538	6763	13601
539	6773	13585
540	6783	13567
541	6794	13551
542	6805	13535
543	6815	13518
544	6826	13502
545	6836	13485
546	6848	13470
547	6857	13453
548	6867	13435
549	6878	13420
550	6889	13404
